"label"	"value"
"Unknown"	"0.703259801015295"
"1"	"0.0229124693601459"
"2"	"0.0688950653638599"
"3"	"0.0200245844928629"
"4"	"0.0064289959773204"
"5"	"0.0203296820428999"
"6"	"0.0222505476529012"
"7"	"0.00355173103299728"
"8"	"0.0171112863561231"
"9"	"0.00164706939682205"
"10"	"0.014613711986112"
"11"	"0.00523281417679699"
"12"	"0.0307439607334042"
"13"	"0.000811154683647662"
"14"	"0.0305794407793888"
"15"	"0.00123821791491268"
"16"	"0.0266248114627011"
"17"	"0.00240557532488529"
"20"	"0.00133908024692378"
