"rsID"	"h2"	"pos"	"gene"	"updist"	"downdist"	"context"	"raf"
"rs1042725"	0.0236529310033513	65964567	"HMGA2"	-999	-999	"UTR-3"	"0.51"
"rs6763931"	0.00756570367721365	141383991	"ZBTB38"	-999	-999	"intron"	"0.45"
"rs798544"	0.00192074882334345	2723468	"AMZ1 - GNA12"	8.03	4.64	"Intergenic"	"0.72"
"rs3748069"	0.00179630259893224	142446496	"GPR126"	-999	-999	"nearGene-3"	"0.74"
"rs1812175"	0.00620442059926874	144653692	"HHIP"	-999	-999	"intron"	"0.86"
"rs12198986"	0.00141781794854049	7719826	"RPL29P1 - BMP6"	98.94	6.95	"Intergenic"	"0.50"
"rs11205277"	0.00234597555152572	149920979	"SV2A - SF3B4"	3.1	2.34	"Intergenic"	"0.44"
"rs678962"	0.000958347080174479	172220749	"DNM3"	-999	-999	"intron"	"0.22"
"rs2274432"	0.00104108979699969	184051811	"TSEN15"	-999	-999	"missense"	"0.37"
"rs3791679"	0.00301812302347188	55869757	"EFEMP1"	-999	-999	"intron"	"0.81"
"rs6830062"	0.0055798716457404	18016107	"LCORL"	-999	-999	"intron"	"0.89"
"rs10946808"	0.00925443192820666	26233159	"HIST1H2APS3"	-999	-999	""	"0.70"
"rs185819"	0.000958347080174479	32082290	"TNXB"	-999	-999	"missense"	"0.52"
"rs1776897"	0.00594861785237005	34227234	"TRNAI25"	-999	-999	""	"0.07"
"rs4713858"	0.000940361069225072	35435008	"TRNAI25"	-999	-999	""	"0.86"
"rs2282978"	0.0105007034843093	92635096	"CDK6"	-999	-999	"intron"	"0.29"
"rs10958476"	0.00117710866474247	56183249	"PLAG1"	-999	-999	"intron"	"0.23"
"rs7846385"	0.000926416151502022	77247943	"HIGD1AP18 - PKIA"	233.89	1268.16	"Intergenic"	"0.27"
"rs4743034"	0.000983711457217437	106870072	"ZNF462"	-999	-999	"intron"	"0.23"
"rs8756"	0.00868123441944972	65965972	"HMGA2"	-999	-999	"UTR-3"	"0.52"
"rs4533267"	0.000958347080174479	100246066	"ADAMTS17"	-999	-999	"intron"	"0.28"
"rs3760318"	0.0011280389197884	30920697	"ADAP2"	-999	-999	"nearGene-5"	"0.63"
"rs4794665"	0.000883135149064223	56772968	"NOG - C17orf67"	177.38	18.95	"Intergenic"	"0.48"
"rs757608"	0.000915026407898265	61419916	"C17orf82 - TBX4"	6.64	31.86	"Intergenic"	"0.35"
"rs4800148"	0.00108454470589157	23144364	"CABLES1"	-999	-999	"intron"	"0.79"
"rs967417"	0.000983711457217437	6640246	"CASC20 - BMP2"	111.79	127.85	"Intergenic"	"0.53"
"rs6733301"	0.000753664884939656	25053415	"EFR3B"	-999	-999	"intron"	"0.87"
"rs1052483"	0.00073980963310821	219069626	"MIR3131 - NHEJ1"	10.88	5.7	"Intergenic"	"0.91"
"rs749052"	0.00073980963310821	231931900	"NPPC - DIS3L2"	5.57	29.68	"Intergenic"	"0.94"
"rs4345115"	0.000619372553787829	168119960	"GOLIM4 - EGFEM1P"	24.04	129.56	"Intergenic"	"0.63"
"rs710841"	0.00310889379713932	81228677	"PRKG2 - RASGEF1B"	13.56	197.72	"Intergenic"	"0.27"
"rs31198"	0.000611136742336135	135036995	"C5orf66"	-999	-999	"intron"	"0.75"
"rs12199222"	0.000761959878542355	17699091	"NUP153"	-999	-999	"intron"	"0.33"
"rs9395066"	0.000611136742336135	45127426	"SUPT3H"	-999	-999	"intron"	"0.48"
"rs314268"	0.000753664884939656	104970103	"LIN28B"	-999	-999	"intron"	"0.34"
"rs9487094"	0.000653931204603177	109420812	"PPIL6"	-999	-999	"intron"	"0.69"
"rs1490388"	0.000771539258587634	126514509	"MIR588 - VIMP1"	29.8	87.85	"Intergenic"	"0.42"
"rs6899976"	0.000628885157703315	130037283	"L3MBTL3"	-999	-999	"intron"	"0.28"
"rs2814828"	0.00074635057383372	88196267	"SPATA31C2 - RPSAP49"	57.8	128.11	"Intergenic"	"0.25"
"rs946053"	0.000839912356283853	114287611	"COL27A1"	-999	-999	"intron"	"0.52"
"rs2187642"	0.000696825686308445	11702690	"ETV6"	-999	-999	"intron"	"0.39"
"rs11611208"	0.000696825686308445	20605679	"PDE3A"	-999	-999	"intron"	"0.06"
"rs11177669"	0.000671722524135155	69434901	"RPS26P45 - FRS2"	11.91	35.45	"Intergenic"	"0.31"
"rs3825199"	0.000839912356283853	93583178	"SOCS2"	-999	-999	"intron"	"0.24"
"rs1239947"	0.000611136742336135	50532419	"RPL34P26 - DLEU7"	170.66	180.2	"Intergenic"	"0.35"
"rs2554380"	0.00074635057383372	83647132	"SH3GL3 - ADAMTSL3"	28.39	6.95	"Intergenic"	"0.78"
"rs2326458"	0.000753664884939656	84954073	"CRISPLD2 - ZDHHC7"	44.56	20.39	"Intergenic"	"0.26"
"rs7209435"	0.000761959878542355	63635604	"MAP3K3"	-999	-999	"intron"	"0.27"
"rs7249094"	0.00073980963310821	8607115	"ADAMTS10"	-999	-999	"intron"	"0.59"
"rs5751614"	0.000628885157703315	23250864	"BCR"	-999	-999	"intron"	"0.49"
"rs1474563"	0.000671722524135155	79393696	"ITM2A - TBX22"	26.14	621.06	"Intergenic"	"0.58"
"rs6088792"	0.000753664884939656	35321981	"UQCC1"	-999	-999	"intron"	"0.26"
"rs7153027"	0.00131640410836299	91960878	"FBLN5 - TRIP11"	13.18	7.02	"Intergenic"	"0.52"
"rs724016"	0.00861145078385029	141386728	"ZBTB38"	-999	-999	"intron"	"0.48"
"rs4896582"	0.0047610774655744	142382740	"GPR126"	-999	-999	"intron"	"0.27"
"rs1492820"	0.00285671757691111	144728869	"HHIP"	-999	-999	"intron"	"0.48"
"rs8007661"	0.00235328061082887	91993614	"TRIP11"	-999	-999	"intron"	"0.30"
"rs314277"	0.00200842514141398	104959787	"LIN28B"	-999	-999	"intron"	"0.13"
"rs12986413"	0.00187408964004175	2170955	"DOT1L"	-999	-999	"intron"	"0.45"
"rs2562784"	0.00178944831516559	83617740	"SH3GL3"	-999	-999	"intron"	"0.17"
"rs9650315"	0.00155832706493972	56243039	"CHCHD7 - SDR16C5"	24.42	56.97	"Intergenic"	"0.13"
"rs2040494"	0.00155832706493972	92627591	"CDK6"	-999	-999	"intron"	"0.50"
"rs2730245"	0.00159331805993941	158932098	"WDR60"	-999	-999	"intron"	"0.33"
"rs7466269"	0.00200015398513547	130588697	"FUBP3"	-999	-999	"intron"	"0.33"
"rs7869550"	0.00144703256418679	116372517	"PAPPA"	-999	-999	"intron"	"0.24"
"rs12449568"	0.00136301405088698	56352794	"ANKFN1"	-999	-999	"intron"	"0.47"
"rs763014"	0.00125220873457483	625680	"RAB40C"	-999	-999	"intron"	"0.43"
"rs17104630"	0.00119550165264967	36530844	"NKX2-1-AS1 - PHKBP2"	7.83	2.98	"Intergenic"	"0.04"
"rs6060369"	0.00427750733728701	35319358	"UQCC1"	-999	-999	"intron"	"0.36"
"rs6440003"	0.00941047965274172	141375367	"ZBTB38"	-999	-999	"intron"	"0.44"
"rs6060373"	0.00517898921519563	35326405	"UQCC1"	-999	-999	"intron"	"0.62"
"rs16896068"	0.00386360416933841	17943217	"LCORL"	-999	-999	"intron"	"0.16"
"rs4549631"	0.00373289950831159	126645162	"PRELID1P1 - RPS4XP9"	0.88	37.85	"Intergenic"	"0.50"
"rs3791675"	0.0130844062979385	55884174	"EFEMP1"	-999	-999	"intron"	"0.77"
"rs2814993"	0.00343645142381846	34651116	"C6orf106"	-999	-999	"intron"	"0.15"
"rs10512248"	0.00310854484012138	95497421	"PTCH1"	-999	-999	"intron"	"0.31"
"rs12735613"	0.00310854484012138	118341350	"RNA5SP56 - PSMC1P12"	76.86	272.76	"Intergenic"	"0.24"
"rs11107116"	0.00384527102942922	93584728	"SOCS2"	-999	-999	"intron"	"0.77"
"rs6854783"	0.00255264259191899	144721927	"HHIP"	-999	-999	"intron"	"0.43"
"rs1390401"	0.00242272889817132	227610249	"ZNF678"	-999	-999	"intron"	"0.82"
"rs3116602"	0.00237505748887344	50537219	"RPL34P26 - DLEU7"	175.46	175.4	"Intergenic"	"0.21"
"rs6686842"	0.00222644982886417	41065199	"SCMH1"	-999	-999	"intron"	"0.56"
"rs10906982"	0.0043251668118994	83899406	"ADAMTSL3"	-999	-999	"intron"	"0.52"
"rs6724465"	0.00222644982886417	219079124	"NHEJ1"	-999	-999	"intron"	"0.10"
"rs10935120"	0.00204940796981463	134514250	"CEP63"	-999	-999	"intron"	"0.33"
"rs8041863"	0.00203055817321746	88816458	"ACAN"	-999	-999	"intron"	"0.47"
"rs8099594"	0.00184422238278808	49464790	"MIR4744 - C18orf32"	415.02	16.39	"Intergenic"	"0.65"
"rs1635852"	0.00921895369641945	28149792	"JAZF1"	-999	-999	"intron"	"NR"
"rs10816533"	0.0337109112959214	96776856	"ZNF510"	-999	-999	"intron"	"0.29"
"rs11809207"	0.00224387584285149	26194649	"CATSPER4"	-999	-999	"intron"	"0.23"
"rs10472828"	0.00449794771590492	32888712	"NPR3 - RPS8P8"	96.99	273.44	"Intergenic"	"0.26"
"rs13437082"	0.00227176875940508	31386783	"TRNAI25"	-999	-999	""	"0.13"
"rs6570507"	0.00561886337786732	142358435	"GPR126"	-999	-999	"intron"	"0.42"
"rs1182188"	0.00270309667373531	2830351	"GNA12"	-999	-999	"intron"	"0.27"
"rs849141"	0.00341179778740926	28145472	"JAZF1"	-999	-999	"intron"	"0.23"
"rs3118914"	0.00301284763037348	50542765	"RPL34P26 - DLEU7"	181	169.86	"Intergenic"	"0.39"
"rs910316"	0.00216577081975347	75159339	"TMED10"	-999	-999	"intron"	"0.15"
"rs4842838"	0.00374223344428564	83913372	"ADAMTSL3"	-999	-999	"missense"	"0.32"
"rs6088813"	0.00429223507487342	35387378	"UQCC1"	-999	-999	"intron"	"0.11"
"rs7815788"	0.00157041977123177	56266461	"CHCHD7 - SDR16C5"	47.84	33.55	"Intergenic"	"0.39"
"rs7871764"	0.00170933472117705	34071543	"RNU7-36P - DCAF12"	53.22	14.84	"Intergenic"	"0.44"
"rs6918981"	0.00678478062547476	34270737	"TRNAI25"	-999	-999	""	"0.21"
"rs17038182"	0.00273633684713374	118325782	"RNA5SP56 - PSMC1P12"	61.29	288.33	"Intergenic"	"0.42"
"rs10513137"	0.00834637860115422	141424588	"ZBTB38"	-999	-999	"intron"	"0.26"
"rs13273123"	0.00643943910873837	56188232	"PLAG1"	-999	-999	"intron"	"0.07"
"rs6717918"	0.00338146560617535	232290400	"DIS3L2"	-999	-999	"intron"	"0.78"
"rs139909"	0.00257727214699415	40301577	"TNRC6B"	-999	-999	"intron"	"0.68"
"rs10898392"	0.00206189937005215	85453707	"DLG2"	-999	-999	"intron"	"NR"
"rs5757949"	0.00200736162922891	40424147	"MKL1"	-999	-999	"intron"	"NR"
"rs1569019"	0.0299533563241964	131091646	"GPR133"	-999	-999	"intron"	"NR"
"rs41464348"	0.00216574338542907	33302232	"LTBP1"	-999	-999	"intron"	"0.35"
"rs11989122"	0.00219895359501758	117815600	"EXT1"	-999	-999	"intron"	"0.48"
"rs10961780"	0.00243610030190721	14898163	"FREM1"	-999	-999	"intron"	"0.33"
"rs16910061"	0.00234848698243551	94552459	"YRDCP1 - FBP2"	119.2	6.26	"Intergenic"	"0.14"
"rs2315504"	0.00213698941285328	40890629	"KRT20 - KRT23"	5.39	32.07	"Intergenic"	"0.01"
"rs2079795"	0.00311871055652536	61419288	"C17orf82 - TBX4"	6.01	32.49	"Intergenic"	"0.33"
"rs10948197"	0.00213698941285328	44999753	"SUPT3H"	-999	-999	"intron"	"0.34"
"rs7032940"	0.00234848698243551	110183125	"AKAP2 - TRNAR6"	10.61	15.4	"Intergenic"	"0.21"
"rs2292303"	0.00213698941285328	102119753	"PARPBP;NUP37"	-999	-999	"nearGene-5;intron"	"0.30"
"rs1520223"	0.00260891642205084	102332560	"PMCH - IGF1"	134.72	63.31	"Intergenic"	"0.26"
"rs4811971"	0.00219895359501758	58221728	"ANKRD60"	-999	-999	"intron"	"0.39"
"rs7678436"	0.00301296319570386	17796343	"FAM184B - DCAF16"	14.83	4.31	"Intergenic"	"0.26"
"rs7742369"	0.0027613780638388	34197944	"TRNAI25"	-999	-999	""	"0.14"
"rs7833986"	0.00186877044233562	56187590	"PLAG1"	-999	-999	"intron"	"0.08"
"rs9825379"	0.0016695452601931	141418193	"ZBTB38"	-999	-999	"intron"	"0.24"
"rs7571816"	0.00162951346728852	232212354	"DIS3L2"	-999	-999	"intron"	"0.45"
"rs12338076"	0.00155074201753476	136229894	"QSOX2"	-999	-999	"intron"	"0.34"
"rs5742692"	0.00148244069615176	102405820	"IGF1"	-999	-999	"intron"	"0.27"
"rs3769528"	0.00141421748026596	33246125	"LTBP1"	-999	-999	"intron"	"0.15"
"rs4886707"	0.00141421748026596	75463126	"LOC102723785"	-999	-999	"intron"	"0.42"
"rs3738814"	0.00132416416321537	17005181	"ATP13A2"	-999	-999	"intron"	"0.35"
"rs2305707"	0.00120132219011911	51277213	"CYP19A1"	-999	-999	"intron"	"0.37"
"rs798497"	0.00120132219011911	2756323	"GNA12"	-999	-999	"intron"	"0.27"
"rs11170631"	0.00117672282686819	53647408	"RPL31P51 - ATP5G2"	14.23	17.75	"Intergenic"	"0.36"
"rs2236164"	0.00109867152903992	35509524	"CEP250"	-999	-999	"intron"	"0.22"
"rs6585827"	0.00109867152903992	122406099	"PLEKHA1"	-999	-999	"intron"	"0.43"
"rs8002779"	0.00105910720354342	91363723	"MIR92A1 - GPC5"	12.33	34.96	"Intergenic"	"0.48"
"rs4369779"	0.00105910720354342	23155444	"CABLES1"	-999	-999	"intron"	"0.20"
"rs16859517"	0.00100933404163377	219084462	"NHEJ1"	-999	-999	"intron"	"0.39"
"rs1175000"	0.00100933404163377	21984422	"CDCA7L - RAPGEF5"	38.5	133.87	"Intergenic"	"0.40"
"rs6563943"	0.00099158989438524	83605730	"CDH13"	-999	-999	"intron"	"0.32"
"rs6561030"	0.000976596329728143	42057583	"DGKH"	-999	-999	"intron"	"0.28"
"rs756199"	0.000976596329728143	184033740	"COLGALT2"	-999	-999	"intron"	"0.42"
"rs1136001"	0.000976596329728143	15038117	"PDXDC1;NTAN1"	-999	-999	"intron;missense"	"0.44"
"rs7183263"	0.0021358748949666	83904289	"ADAMTSL3"	-999	-999	"intron"	"0.52"
"rs7498403"	0.0368149857114356	79551124	"RNA5SP431 - MAF"	286.55	42.72	"Intergenic"	"0.11"
"rs16942341"	0.00086224579698342	88845674	"ACAN"	-999	-999	"cds-synon"	"0.03"
"rs6457821"	0.000362625743751727	35435028	"TRNAI25"	-999	-999	""	"0.02"
"rs2780226"	0.000886088473750716	34231315	"TRNAI25"	-999	-999	""	"0.92"
"rs7689420"	0.001676162195053	144647200	"HHIP;HHIP-AS1"	-999	-999	"intron;nearGene-5"	"0.16"
"rs143384"	0.0019421101675125	35437976	"GDF5"	-999	-999	""	"0.58"
"rs12902421"	0.000222222448738938	71869062	"MYO9A"	-999	-999	"intron"	"0.97"
"rs17511102"	0.000565993491623959	37733470	"CDC42EP3 - LINC00211"	60.94	92.78	"Intergenic"	"0.91"
"rs3782089"	0.000386245235711738	65569348	"SSSCA1;SSSCA1-AS1"	-999	-999	"nearGene-5;ncRNA"	"0.06"
"rs3118905"	0.00149763886337187	50531198	"RPL34P26 - DLEU7"	169.44	181.43	"Intergenic"	"0.29"
"rs2066807"	0.000406608995569002	56346898	"STAT2"	-999	-999	"missense"	"0.93"
"rs13088462"	0.000285079364413273	51034282	"DOCK3"	-999	-999	"intron"	"0.94"
"rs6470764"	0.000906628639011423	129713419	"MIR3686 - GSDMC"	229.28	34.78	"Intergenic"	"0.2"
"rs16964211"	0.000261604888003983	51238298	"CYP19A1"	-999	-999	"intron"	"0.05"
"rs11144688"	0.000339032938108901	75927370	"PCSK5"	-999	-999	"intron"	"0.11"
"rs7763064"	0.00108758580726441	142476152	"GPR126 - HIVEP2"	29.89	275.32	"Intergenic"	"0.29"
"rs9456307"	0.000261604888003983	158508410	"TULP4"	-999	-999	"UTR-3"	"0.06"
"rs798489"	0.00107730554761447	2762169	"GNA12"	-999	-999	"intron"	"0.3"
"rs2580816"	0.000685838404765352	231933256	"NPPC - DIS3L2"	6.93	28.33	"Intergenic"	"0.19"
"rs7759938"	0.000988464096896391	104931079	"HACE1 - LINC00577"	71.16	5.22	"Intergenic"	"0.68"
"rs1046934"	0.00100901671645655	184054395	"TSEN15"	-999	-999	"missense"	"0.64"
"rs11259936"	0.00114561378054483	83911830	"ADAMTSL3"	-999	-999	"intron"	"0.48"
"rs788867"	0.000884343463676932	81228852	"PRKG2 - RASGEF1B"	13.74	197.54	"Intergenic"	"0.68"
"rs9360921"	0.000390469716022212	75555926	"RPL26P20 - SENP6"	55.78	45.95	"Intergenic"	"0.89"
"rs2665838"	0.000790744547319344	63889105	"GH2 - CSH1"	7.16	5.8	"Intergenic"	"0.73"
"rs9428104"	0.000719894548836786	118312964	"RNA5SP56 - PSMC1P12"	48.48	301.15	"Intergenic"	"0.24"
"rs7274811"	0.000685838404765352	33745375	"ZNF341"	-999	-999	"intron"	"0.23"
"rs2284746"	0.000930478519987286	16980180	"MFAP2"	-999	-999	"intron"	"0.48"
"rs17346452"	0.000746404664344467	172084147	"DNM3"	-999	-999	"intron"	"0.73"
"rs13177718"	0.000222222448738938	108777643	"FER"	-999	-999	"intron"	"0.07"
"rs6569648"	0.000678285045522866	130027974	"L3MBTL3"	-999	-999	"intron"	"0.76"
"rs2145272"	0.00077022357408985	6645571	"CASC20 - BMP2"	117.11	122.53	"Intergenic"	"0.65"
"rs9967417"	0.000782043197873867	49433130	"DYM"	-999	-999	"intron"	"0.58"
"rs2597513"	0.000276911978797937	13514336	"HDAC11 - FBLN2"	7.91	34.79	"Intergenic"	"0.9"
"rs4282339"	0.000479615400685234	168829235	"SLIT3"	-999	-999	"intron"	"0.2"
